"county","MEDIAN_AGE","POVERTY_RATE","MEDIAN_HOUSEHOLD_INCOME","PCT_NO_HEALTHCARE","PCT_WITH_A_DISABILITY","PCT_SNAP_ASSISTANCE","AHOLD.DELHAIZE.USA.INC","ALBERTSONS.CO.INC","COSTCO.WHOLESALE.CORP","DOLLAR.GENERAL.CORP","DOLLAR.TREE.INC","KROGER.CO","LONE.STAR.FUNDS","MEIJER.INC","PUBLIX.SUPER.MARKETS.INC","TARGET.CORP","TRADER.JOE.S","WAKEFERN.FOOD.CORP.INC","WALMART.INC","WEGMANS.FOOD.MARKETS.INC","TOTAL_POPULATION"
" Wright County",39.5305555555556,0.0764196168071561,80765.3611111111,0.0569259003972677,0.109451723412231,0.0700553984076102,NA,NA,NA,0.0838346153846154,0.02093,NA,NA,NA,NA,0.220727272727273,NA,NA,0.43845,NA,171112
" Wyandot County",42.6166666666667,0.0691529049826833,62055.5,0.0404983003849265,0.133076978062494,0.0949239479667793,NA,NA,NA,0.04785,0.0424666666666667,0.04925,NA,0.4563,NA,NA,NA,NA,0.424883333333333,NA,21933
" Wyandotte County",33.9457627118644,0.186732768007563,52371.9137931034,0.186061787352251,0.181198176706521,0.141999625682449,NA,NA,0.0373,0.0706230769230769,0.0953339622641509,NA,NA,NA,NA,0.111778260869565,NA,NA,0.427096551724138,NA,173023
" Wyoming County",44.024,0.136869316514967,57595.1666666667,0.0413503662657063,0.191414819376354,0.144851879545643,NA,NA,NA,0.192848,0.0319384615384615,NA,NA,NA,NA,NA,NA,NA,0.294709090909091,NA,88649
" Wythe County",45.8375,0.160197537341496,54715.875,0.0699471135294888,0.198077677277226,0.105669609530712,0.246042857142857,NA,NA,0.0521375,0.0152666666666667,NA,NA,NA,NA,NA,NA,NA,0.498,NA,28347
" Yadkin County",44.0555555555556,0.154941937321706,52574.7777777778,0.129709964371898,0.160170168726054,0.120746101521646,0.367255555555556,NA,NA,0.201977777777778,0.0575875,0.2005,NA,NA,NA,NA,NA,NA,0.371475,NA,37198
" Yakima County",33.9122807017544,0.161344326697986,59533.1578947368,0.135287076397847,0.137541460320273,0.242251605583185,NA,0.340584,0.172222222222222,0.0170555555555556,0.0492148148148148,0.207547058823529,NA,NA,NA,0.0766466666666667,NA,NA,0.391826470588235,NA,255151
" Yalobusha County",45.325,0.213243303336583,45822.5,0.12579069256062,0.23133503676615,0.115384375801764,NA,NA,NA,0.34855,NA,NA,NA,NA,NA,NA,NA,NA,0.8696,NA,12586
" Yamhill County",39.2684210526316,0.116750730463447,74829,0.0570093511516793,0.154437529998968,0.162444768581193,NA,0.268435294117647,NA,0.0175875,0.01321875,0.6554,NA,NA,NA,NA,NA,NA,0.224375,NA,107024
" Yancey County",47.68,0.151998633514124,45141.2,0.124670525292671,0.184320063382452,0.12578924450679,NA,NA,NA,0.10246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18357
" Yankton County",41.66,0.0775250158198428,66920.6,0.0738916357561515,0.150585439897016,0.0570349592346996,NA,NA,NA,NA,0.0117,NA,NA,NA,NA,NA,NA,NA,0.3651,NA,23213
" Yates County",41.9625,0.132443175437692,58453.5,0.173340719528549,0.117519743205545,0.0954686638802,NA,NA,NA,0.11245,0.0944857142857143,NA,NA,NA,NA,NA,NA,NA,0.374633333333333,0.6347,24808
" Yavapai County",52.6819444444444,0.122966499997768,58047.2222222222,0.108728385538588,0.175641502677346,0.0861954369074604,NA,0.328737037037037,0.153925,0.0623422222222222,0.021955,0.265506382978723,NA,NA,NA,0.120558823529412,0.0887538461538462,NA,0.2601,NA,233789
" Yazoo County",35.8285714285714,0.277945306506765,42540.8571428571,0.118813921358842,0.425148937331731,0.275843065260219,NA,NA,NA,0.262442857142857,0.0299666666666667,NA,NA,NA,NA,NA,NA,NA,0.38725,NA,27924
" Yell County",40.1333333333333,0.143196972166747,51281.8333333333,0.0762194265469287,0.195964830092609,0.145711748730956,NA,NA,NA,0.413366666666667,0.02085,0.22155,NA,NA,NA,NA,NA,NA,0.654766666666667,NA,20489
" Yellow Medicine County",42.225,0.0983071981585364,64052.25,0.0342677715638326,0.130155649743508,0.0653027333652095,NA,NA,NA,0.516766666666667,0.0407,NA,NA,NA,NA,NA,NA,NA,0.7858,NA,9616
" Yellowstone County",38.4583333333333,0.118528616898575,67018.4722222222,0.0617247617055227,0.133400658925089,0.106440217974357,NA,0.28469,0.175316666666667,NA,0.0293612903225806,NA,NA,NA,NA,0.211552,NA,NA,0.546442307692308,NA,163593
" Yoakum County",34.25,0.103570898234096,72176.5,0.273451256941624,0.119280087090522,0.0861531061178462,NA,NA,NA,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7707
" Yolo County",33.9471698113208,0.166243209997141,86212.6153846154,0.0443439545883493,0.108633743376928,0.111823041738884,NA,0.236019047619048,0.156177777777778,0.0252764705882353,0.0238636363636364,0.0447,NA,NA,NA,0.169111538461538,0.2511,NA,0.31394,NA,216703
